No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
380,NXTD,-3.59%,-6.56%,-17.97%,-64.31%,-85.85%,-20.92%,13.20%,9.24%,3.00,2.48M,0.10,2.42,0.00%,0
381,NXTP,-7.50%,-10.48%,-50.45%,-72.66%,-81.56%,-35.12%,9.53%,11.86%,2.00,1.22M,0.36,0.56,0.92%,"137,228"
382,NYMT,0.58%,-4.12%,-8.64%,-19.77%,-18.65%,-6.18%,3.93%,2.81%,2.60,3.31M,0.94,3.52,0.86%,"958,909"
383,OCFT,20.45%,-10.67%,-36.90%,-63.19%,-91.38%,-35.63%,11.18%,8.82%,2.60,1.85M,0.62,1.51,-4.72%,"352,187"
384,OCGN,-15.60%,14.42%,-44.48%,-50.89%,-62.81%,-21.54%,10.66%,9.85%,2.50,13.69M,0.95,3.41,-4.48%,"4,029,226"
385,OCSL,0.40%,0.54%,1.36%,1.63%,20.32%,0.00%,1.80%,1.50%,1.70,1.22M,0.91,7.47,0.07%,"339,572"
386,OEG,17.83%,-3.18%,-39.44%,-54.22%,-75.52%,-30.59%,14.24%,8.68%,2.00,1.60M,1.05,1.49,-2.30%,"516,086"
387,OGEN,-9.72%,-14.21%,-41.70%,-50.92%,-66.34%,-21.50%,9.42%,6.94%,2.00,1.79M,0.26,0.35,1.36%,"145,484"
388,OGI,0.68%,5.00%,-26.87%,-43.02%,-54.06%,-16.00%,7.69%,6.68%,3.00,5.52M,0.59,1.46,-0.68%,"995,973"
389,OLB,-5.52%,-0.58%,-60.32%,-55.47%,-76.18%,-35.47%,12.64%,9.69%,1.50,2.14M,0.20,1.70,-0.58%,"132,145"
390,OMER,7.09%,26.11%,0.42%,-54.75%,-64.82%,10.42%,7.53%,7.23%,2.20,1.02M,1.06,6.68,-5.92%,"331,671"
391,OP,0.04%,-12.96%,-,-,-,-76.59%,9.42%,9.10%,-,1.24M,5.73,0.53,12.14%,"2,196,563"
392,ORC,-13.42%,-18.77%,-33.33%,-36.80%,-45.42%,-29.78%,6.22%,3.58%,2.00,5.14M,1.18,3.14,-0.63%,"1,873,376"
393,ORGN,9.11%,14.08%,-20.49%,-17.39%,-48.65%,-14.57%,6.24%,6.33%,2.50,1.11M,0.87,5.62,2.00%,"297,594"
394,OSCR,6.59%,17.42%,-21.47%,-52.29%,-,-7.26%,8.16%,7.22%,2.60,2.18M,1.30,6.99,-3.91%,"875,740"
395,OTLK,12.00%,21.74%,16.67%,-36.12%,-22.58%,23.53%,9.48%,7.63%,2.00,1.35M,0.98,1.73,2.98%,"409,402"
396,OUST,-3.82%,8.28%,-51.77%,-60.84%,-73.31%,-37.12%,8.52%,8.45%,1.50,2.51M,0.54,3.23,-1.22%,"420,187"
397,OXLC,-1.73%,-8.44%,-5.87%,4.09%,14.06%,-4.28%,2.57%,2.10%,1.50,1.59M,1.61,7.63,3.39%,"785,575"
398,PAVM,4.26%,-2.65%,-58.94%,-79.70%,-66.21%,-40.24%,11.21%,10.93%,2.00,1.75M,0.58,1.48,0.68%,"314,211"
399,PAYO,3.17%,-1.94%,-42.28%,-53.75%,-60.93%,-37.96%,9.05%,7.58%,1.90,2.43M,0.65,4.47,-2.08%,"489,365"
400,PBI,4.25%,-16.21%,-31.90%,-33.83%,-43.95%,-25.94%,4.94%,4.80%,2.20,2.39M,0.53,5.05,2.95%,"392,639"
401,PBTS,3.93%,-10.87%,-62.59%,-72.58%,-89.44%,-29.71%,9.00%,7.84%,2.00,4.12M,0.56,0.38,2.31%,"706,189"
402,PCT,22.92%,34.32%,-41.38%,-48.10%,-72.14%,-24.35%,12.34%,10.21%,1.70,1.03M,1.01,7.25,0.14%,"317,993"
403,PDI,3.43%,-2.12%,-4.27%,-13.58%,-13.92%,-5.71%,2.71%,1.65%,3.00,1.11M,1.45,24.72,1.19%,"496,093"
404,PETZ,19.16%,-3.60%,-91.10%,-81.59%,-86.30%,-89.29%,17.31%,12.25%,-,13.96M,0.79,0.40,-2.09%,"3,386,127"
405,PGEN,6.40%,-12.20%,-42.86%,-63.70%,-74.83%,-41.78%,7.75%,6.60%,2.00,1.65M,0.89,2.22,3.01%,"456,078"
406,PGRE,15.26%,26.44%,32.25%,24.43%,13.71%,31.29%,5.30%,3.60%,2.90,2.23M,1.02,10.88,-0.64%,"705,261"
407,PHUN,-10.67%,40.19%,-8.15%,176.42%,67.43%,11.41%,12.29%,12.93%,2.00,19.70M,0.89,2.83,-3.58%,"5,386,440"
408,PIK,-36.33%,-62.33%,-69.83%,-,-,-69.54%,17.49%,13.58%,2.00,1.41M,0.25,1.86,-2.62%,"108,929"
409,PIXY,-3.53%,-34.91%,-2.37%,-44.21%,-72.66%,-29.91%,12.54%,11.00%,-,7.89M,0.02,0.81,-0.63%,"46,532"
410,PL,11.61%,2.16%,-44.41%,-42.55%,-,-7.80%,9.72%,8.88%,2.00,4.00M,0.44,5.54,-2.29%,"547,593"
411,PLBY,-3.24%,4.06%,-62.12%,-40.03%,9.51%,-45.12%,10.90%,9.12%,1.70,1.49M,2.25,16.45,12.52%,"1,030,486"
412,PLYA,12.43%,30.14%,30.49%,33.80%,34.75%,19.05%,7.89%,4.87%,2.20,1.24M,0.62,9.48,-0.21%,"237,687"
413,PMT,1.23%,-9.86%,-13.97%,-18.54%,-17.07%,-9.75%,3.16%,3.17%,2.60,1.04M,0.59,15.84,1.28%,"189,258"
414,PPSI,0.83%,19.45%,-20.31%,44.76%,1.71%,-18.93%,8.48%,9.08%,-,2.11M,0.02,6.07,-0.16%,"15,893"
415,PRCH,-7.85%,-22.06%,-65.56%,-62.67%,-61.86%,-53.30%,12.39%,9.44%,1.60,1.71M,3.32,7.14,-1.92%,"1,750,013"
